,fight_id,round,FT_blue,SMA_blue,SUL_blue,GRC_blue,SGHL_blue,SSA_blue,KDL_blue,SGBA_blue,ST_blue,SGHA_blue,KOL_blue,TDL_blue,SGBL_blue,RVL_blue,SGA_blue,SSHL_blue,SSBA_blue,SSBL_blue,TDA_blue,SML_blue,SSHA_blue,FT_red,SMA_red,SUL_red,GRC_red,SGHL_red,SSA_red,KDL_red,SGBA_red,ST_red,SGHA_red,KOL_red,TDL_red,SGBL_red,RVL_red,SGA_red,SSHL_red,SSBA_red,SSBL_red,TDA_red,SML_red,SSHA_red,blue,red
1,9859,2,1,0,0,0,0,36,0,0,268,0,0,0,0,0,0,10,7,7,2,0,26,1,0,0,1,0,44,0,0,268,0,0,0,0,0,0,6,15,9,1,0,27,532,3078
2,9859,3,0,0,0,5,0,22,0,0,194,0,0,1,0,0,0,6,3,2,6,0,16,0,0,1,0,0,38,0,0,194,0,0,0,0,0,0,7,10,8,0,0,26,532,3078
3,9859,4,0,0,0,77,0,23,0,0,192,0,0,1,0,0,0,9,1,1,6,0,17,0,0,1,0,0,27,0,0,192,0,0,0,0,0,0,7,9,4,0,0,17,532,3078
4,9859,5,3,0,0,0,0,3,0,0,15,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,3,1,7,1,0,15,2,1,0,0,0,2,3,3,0,0,0,4,532,3078
0,11097,1,5,0,2,5,1,18,1,0,140,1,0,0,0,0,1,8,4,1,0,0,13,5,0,1,129,3,30,0,0,140,4,0,2,0,0,4,14,3,2,4,0,27,532,3598
1,11097,2,6,0,5,6,1,24,0,0,134,1,0,0,0,0,1,8,3,2,0,0,20,6,0,0,53,1,17,0,0,134,1,0,5,0,0,1,5,4,4,9,0,13,532,3598
2,11097,3,0,0,4,0,1,33,0,0,194,1,0,0,0,0,1,5,2,2,0,0,25,0,0,0,37,0,49,0,1,194,0,0,4,1,0,1,25,4,2,6,0,45,532,3598
0,5715,1,0,0,1,0,8,66,0,0,216,9,0,0,0,0,9,17,7,6,1,0,53,0,0,0,80,0,54,0,3,216,1,0,1,3,0,4,13,22,13,1,0,31,1815,1657
1,5715,2,16,1,1,16,7,34,0,0,123,7,0,0,0,0,7,10,4,4,1,1,26,16,0,0,37,1,26,0,0,123,1,0,1,0,0,1,6,5,3,2,0,20,1815,1657
0,8254,1,0,0,0,0,0,54,0,0,299,0,0,0,0,0,0,13,11,10,0,0,36,0,0,0,0,0,37,0,0,299,0,0,0,0,0,0,15,5,4,0,0,25,1815,2896
1,8254,2,0,0,0,0,0,64,0,0,300,0,0,0,0,0,0,17,4,3,0,0,47,0,0,0,0,0,50,0,0,300,0,0,0,0,0,0,24,4,4,0,0,37,1815,2896
2,8254,3,0,0,0,0,0,69,0,0,300,0,0,0,0,0,0,13,6,5,0,0,57,0,0,0,0,0,35,0,0,300,0,0,0,0,0,0,14,3,3,0,0,29,1815,2896
3,8254,4,0,0,0,0,0,73,0,0,300,0,0,0,0,0,0,17,16,13,0,0,50,0,0,0,0,0,36,0,0,300,0,0,0,0,0,0,18,1,1,0,0,28,1815,2896
4,8254,5,0,0,0,0,0,36,0,0,220,0,0,0,0,0,0,4,6,5,0,0,22,0,0,0,0,0,39,0,0,220,0,1,0,0,0,0,29,1,1,0,0,34,1815,2896
0,6589,1,90,0,0,90,1,34,0,0,209,1,0,1,0,0,3,3,3,1,1,0,10,90,0,1,0,0,41,0,0,209,0,0,0,0,0,0,3,1,1,0,0,31,2375,545
1,6589,2,0,0,0,0,0,44,0,0,300,0,0,0,0,0,0,17,1,1,1,0,38,0,0,0,0,0,81,0,0,300,0,0,0,0,0,0,9,6,4,1,0,62,2375,545
2,6589,3,44,0,0,44,0,35,0,0,257,0,0,1,0,0,0,18,1,1,3,0,29,44,0,1,0,0,85,0,0,257,0,0,0,0,0,0,16,3,2,0,0,75,2375,545
0,7285,1,76,1,0,76,7,35,1,0,178,12,0,1,0,0,12,7,3,2,2,1,30,76,0,1,0,0,38,0,0,178,0,0,0,0,0,0,5,5,3,0,0,19,2375,1050
0,7632,1,0,0,0,0,0,45,0,0,300,0,0,0,0,0,0,15,4,1,0,0,34,0,0,0,0,0,27,0,0,300,0,0,0,0,0,0,6,3,2,0,0,19,2375,1052
1,7632,2,0,0,0,0,0,8,0,0,43,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,23,0,0,43,0,1,0,0,0,0,12,6,4,0,0,17,2375,1052
0,11105,1,1,0,0,228,2,10,0,0,71,2,0,1,0,0,2,3,0,0,2,0,9,1,0,1,1,0,20,0,0,71,0,0,0,0,0,0,5,3,1,0,0,17,2375,1340
