markov_id,description,abbreviation,type,category,position,target,bodypart,fighter
361,standup,SUSL,action,grappling,side control blue,,,red
362,standup,SUBL,action,grappling,back control blue,,,red
363,standup,SUML,action,grappling,mount control blue,,,red
364,strike attempt,SCA,action,striking,clinch,,,red
365,strike attempt,SCBA,action,striking,clinch,body,,red
366,strike attempt,SCHA,action,striking,clinch,head,,red
367,strike attempt,SCLA,action,striking,clinch,legs,,red
368,strike attempt,SDA,action,striking,distance,,,red
369,strike attempt,SDBA,action,striking,distance,body,,red
370,strike attempt,SDHA,action,striking,distance,head,,red
371,strike attempt,SDLA,action,striking,distance,legs,,red
372,strike attempt,SGA,action,striking,ground,,,red
373,strike attempt,SGBA,action,striking,ground,body,,red
374,strike attempt,SGHA,action,striking,ground,head,,red
375,strike attempt,SGLA,action,striking,ground,legs,,red
376,strike attempt,SSA,action,striking,standing,,,red
377,strike attempt,SSBA,action,striking,standing,body,,red
378,strike attempt,SSHA,action,striking,standing,head,,red
379,strike attempt,SSLA,action,striking,standing,legs,,red
381,strike landed,SCBL,action,striking,clinch,body,,red
382,strike landed,SCHL,action,striking,clinch,head,,red
383,strike landed,SCLL,action,striking,clinch,legs,,red
384,strike landed,SDBL,action,striking,distance,body,,red
385,strike landed,SDHL,action,striking,distance,head,,red
386,strike landed,SDLL,action,striking,distance,legs,,red
387,strike landed,SGBL,action,striking,ground,body,,red
388,strike landed,SGHL,action,striking,ground,head,,red
389,strike landed,SGLL,action,striking,ground,legs,,red
390,strike landed,SSBL,action,striking,standing,body,,red
391,strike landed,SSHL,action,striking,standing,head,,red
392,strike landed,SSLL,action,striking,standing,legs,,red
394,submission,SMA,action,grappling,ground,,,red
395,submission,SMMGA,action,grappling,misc ground control,,,red
396,submission,SMHGA,action,grappling,half guard control,,,red
397,submission,SMGA,action,grappling,guard control,,,red
398,submission,SMSA,action,grappling,side control,,,red
399,submission,SMMA,action,grappling,mount control,,,red
400,submission,SMBA,action,grappling,back control,,,red
401,takedown,TDA,action,grappling,standing,,,red
402,tap out,SML,state,grappling,ground,,,red
403,distance,DT,state,position,distance,,,
404,standing,ST,state,position,standing,,,
405,takedown,TDL,action,grappling,ground,,,blue
406,takedown,TDL,action,grappling,ground,,,red
407,ground,GT,state,position,ground,,,
408,floor,FT,state,position,ground,,,
